Age;d18O;
14850;-39.02;
14900;-39.02;
14900;-39.94;
14950;-39.94;
14950;-40.15;
15000;-40.15;
15000;-39.66;
15050;-39.66;
15050;-37.57;
15100;-37.57;
15100;-38.68;
15150;-38.68;
15150;-38.8;
15200;-38.8;
15200;-38.84;
15250;-38.84;
15250;-39.99;
15300;-39.99;
15300;-38.95;
15350;-38.95;
15350;-40.63;
15400;-40.63;
15400;-39.05;
15450;-39.05;
15450;-39.26;
15500;-39.26;
15500;-39.72;
15550;-39.72;
15550;-39.39;
15600;-39.39;
15600;-38.84;
15650;-38.84;
15650;-39.88;
15700;-39.88;
15700;-40.68;
15750;-40.68;
15750;-41.62;
15800;-41.62;
15800;-39.4;
15850;-39.4;
15850;-39.96;
15900;-39.96;
15900;-41.08;
15950;-41.08;
15950;-40.4;
16000;-40.4;
16000;-41.07;
16050;-41.07;
16050;-40.94;
16100;-40.94;
16100;-40.34;
16150;-40.34;
16150;-38.72;
16200;-38.72;
16200;-40.4;
16250;-40.4;
16250;-40.64;
16300;-40.64;
16300;-40.39;
16350;-40.39;
16350;-39.34;
16400;-39.34;
16400;-40.27;
16450;-40.27;
16450;-39.81;
16500;-39.81;
16500;-39.55;
16550;-39.55;
16550;-40.51;
16600;-40.51;
16600;-39.5;
16650;-39.5;
16650;-41.25;
16700;-41.25;
16700;-40.29;
16750;-40.29;
16750;-40.49;
16800;-40.49;
16800;-40.45;
16850;-40.45;
16850;-41.21;
16900;-41.21;
16900;-41.24;
16950;-41.24;
16950;-40.43;
17000;-40.43;
17000;-39.23;
17050;-39.23;
17050;-39.58;
17100;-39.58;
17100;-40.93;
17150;-40.93;
17150;-40.84;
17200;-40.84;
17200;-40.82;
17250;-40.82;
17250;-41.21;
17300;-41.21;
17300;-40.86;
17350;-40.86;
17350;-41.3;
17400;-41.3;
17400;-40.84;
17450;-40.84;
17450;-39.94;
17500;-39.94;
17500;-40.43;
17550;-40.43;
17550;-40.45;
17600;-40.45;
17600;-39.85;
17650;-39.85;
17650;-40.96;
17700;-40.96;
17700;-40.12;
17750;-40.12;
17750;-40.22;
17800;-40.22;
17800;-39.72;
17850;-39.72;
17850;-40.64;
17900;-40.64;
17900;-40.66;
17950;-40.66;
17950;-40.8;
18000;-40.8;
18000;-40.25;
18050;-40.25;
18050;-39.11;
18100;-39.11;
18100;-38.81;
18150;-38.81;
18150;-40.19;
18200;-40.19;
18200;-40.6;
18250;-40.6;
18250;-40.19;
18300;-40.19;
18300;-39.14;
18350;-39.14;
18350;-39.97;
18400;-39.97;
18400;-39.93;
18450;-39.93;
18450;-39.53;
18500;-39.53;
18500;-39.66;
18550;-39.66;
18550;-40.04;
18600;-40.04;
18600;-39.47;
18650;-39.47;
18650;-39.3;
18700;-39.3;
18700;-40.55;
18750;-40.55;
18750;-39.24;
18800;-39.24;
18800;-40.25;
18850;-40.25;
18850;-39.29;
18900;-39.29;
18900;-39.24;
18950;-39.24;
18950;-39.21;
19000;-39.21;
19000;-40.17;
19050;-40.17;
19050;-39.04;
19100;-39.04;
19100;-38.71;
19150;-38.71;
19150;-39.42;
19200;-39.42;
19200;-39.52;
19250;-39.52;
19250;-38.27;
19300;-38.27;
19300;-38.89;
19350;-38.89;
19350;-40.24;
19400;-40.24;
19400;-39.6;
19450;-39.6;
19450;-40.35;
19500;-40.35;
19500;-39.98;
19550;-39.98;
19550;-39.23;
19600;-39.23;
19600;-39.25;
19650;-39.25;
19650;-39.89;
19700;-39.89;
19700;-40.67;
19750;-40.67;
19750;-40.08;
19800;-40.08;
19800;-39.3;
19850;-39.3;
19850;-39.64;
19900;-39.64;
19900;-40.78;
19950;-40.78;
19950;-38.99;
20000;-38.99;
20000;-39.93;
