Age;I_p
1279;0.75
1354;0.5625
1577;0.241379310344828
1726;0.466666666666667
1875;0.517241379310345
1950;0.72
2024;0.782608695652174
2248;0.804878048780488
2397;0.388888888888889
2620;0.735294117647059
2695;0.675
2769;0.689655172413793
2993;0.793103448275862
3127;0.75
3321;0.823529411764706
3451;0.678571428571429
3645;0.548387096774194
3775;0.666666666666667
3969;0.75
4099;0.733333333333333
4293;0.875
4410;0.702702702702703
4533;0.791666666666667
4614;0.659090909090909
4736;0.64
4818;0.5
4940;0.777777777777778
5021;0.675675675675676
5144;0.724137931034483
5225;0.9
5347;0.666666666666667
5429;0.755555555555556
5551;0.897435897435897
5632;0.870967741935484
5755;0.961538461538462
5836;0.9375
5958;0.882352941176471
6040;0.925
6170;0.852941176470588
6258;0.96551724137931
6390;0.813953488372093
6478;0.75609756097561
6610;0.888888888888889
6698;0.790697674418605
6786;0.96
6830;0.763157894736842
6962;0.903225806451613
7050;0.761904761904762
7138;0.783783783783784
7270;0.6
7358;0.934782608695652
7529;0.727272727272727
7649;0.882352941176471
7768;0.974358974358974
7947;0.938775510204082
8126;0.903225806451613
8245;0.880952380952381
8424;0.794117647058823
8544;0.775
8723;0.822222222222222
8902;0.863636363636364
9021;0.815789473684211
9140;0.846153846153846
9254;0.884615384615385
9321;0.865384615384615
9388;0.958333333333333
9489;0.794871794871795
9556;0.853658536585366
9657;0.806451612903226
9724;0.894736842105263
9825;0.64
9926;0.842105263157895
9993;0.764705882352941
10050;0.84375
10103;0.75
10156;0.882352941176471
10209;0.8
10262;0.878048780487805
10316;0.638888888888889
10395;0.8
10448;0.791666666666667
10528;0.828571428571429
10608;0.709677419354839
10661;0.692307692307692
10741;0.631578947368421
10767;0.5625
10820;0.545454545454545
10900;0.705882352941177
10952;0.5625
11027;0.714285714285714
11077;0.576923076923077
11127;0.606060606060606
11177;0.705882352941177
11301;0.53125
11376;0.607142857142857
11401;0.66
11426;0.827586206896552
11526;0.551724137931034
11576;0.828571428571429
11650;0.566666666666667
11700;0.774193548387097
11775;0.13953488372093
11830;0.606060606060606
11918;0.459459459459459
11978;0.714285714285714
12066;0.65
12126;0.720930232558139
12206;0.545454545454545
12255;0.365853658536585
12327;0.34375
12376;0.358490566037736
12448;0.310344827586207
12497;0.41025641025641
12569;0.3125
12618;0.486486486486487
12691;0.255813953488372
12739;0.38
12812;0.363636363636364
12860;0.266666666666667
12933;0.128205128205128
12981;0.152173913043478
13054;0.691176470588235
13124;0.409090909090909
13330;0.184210526315789
13380;0.59375
13454;0.404761904761905
13504;0.529411764705882
13578;0.485714285714286
13628;0.615384615384615
13702;0.424242424242424
13752;0.642857142857143
13802;0.607843137254902
13876;0.466666666666667
13951;0.5
14000;0.466666666666667
14075;0.393939393939394
14124;0.592592592592593
14199;0.590909090909091
14249;0.694444444444444
14323;0.5
14373;0.64
14475;0.314285714285714
14604;0.5
14690;0.466666666666667
14776;0.487179487179487
14905;0.297297297297297
15003;0.191489361702128
15201;0.163636363636364
15333;0.192307692307692
15531;0
15663;0.0163934426229508
15861;0.025
15993;0.0862068965517241
16191;0.0133333333333333
16323;0.0208333333333333
16587;0.0142857142857143
16970;0.04
17281;0
17669;0
17825;0.173913043478261
18478;0.1
19464;0.0384615384615385
19661;0.0645161290322581
19956;0.114285714285714
20154;0.0909090909090909
20646;0.129032258064516
20942;0.105263157894737
21108;0.1
22973;0.0689655172413793
23440;0.0769230769230769
23735;0.113636363636364
23853;0
24028;0.0102040816326531
24142;0.102564102564103
24313;0.0526315789473684
24427;0
24598;0.107142857142857
25135;0.0961538461538462
26112;0.13953488372093
26501;0.0930232558139535
26656;0.157894736842105
26906;0.214285714285714
27462;0.103448275862069
28015;0.024390243902439
28561;0.205882352941176
28808;0.24
28907;0.3
30149;0.0185185185185185
30636;0.0425531914893617
30973;0.0540540540540541
31164;0.272727272727273
31407;0.166666666666667
31552;0.189189189189189
31649;0.25
31858;0.272727272727273
32033;0.416666666666667
32160;0.571428571428571
32318;0.481481481481481
32555;0.176470588235294
32713;0.229166666666667
32933;0.204081632653061
33025;0.0285714285714286
33254;0.516129032258065
33391;0.3
33517;0.387096774193548
34082;0.0384615384615385
34606;0.189189189189189
34765;0.607142857142857
34860;0.714285714285714
34923;0.565217391304348
35018;0.375
35082;0.451612903225806
35177;0.1875
35241;0.260869565217391
35787;0.0416666666666667
36199;0.108695652173913
36315;0.25
36490;0.272727272727273
36606;0.342105263157895
36664;0.446808510638298
36780;0.409090909090909
36896;0.25
37187;0.310344827586207
37361;0.419354838709677
37477;0.363636363636364
37652;0.419354838709677
37768;0.395348837209302
37942;0.527777777777778
38059;0.382352941176471
38367;0.483870967741935
38649;0.0983606557377049
38836;0.0136986301369863
38930;0.0379746835443038
39118;0.0158730158730159
39306;0.0263157894736842
39588;0
39775;0.0769230769230769
40130;0.315789473684211
40299;0.266666666666667
40771;0.189189189189189
40894;0.428571428571429
41197;0.6
41462;0.113207547169811
41722;0.4375
41766;0.236842105263158
41941;0.37037037037037
42073;0.391304347826087
42380;0.407407407407407
42759;0.36
42955;0.105263157894737
43242;0.181818181818182
43658;0.463414634146341
44074;0.36
44490;0.567567567567568
44906;0.333333333333333
45155;0.444444444444444
45328;0.137931034482759
45809;0
46097;0.0909090909090909
46602;0.0666666666666667
46890;0.404761904761905
48113;0.4
